date,network,daypart,viewers
201401,A,"S,Su 8:00 AM - 1:00 PM",275
201401,B,"S,Su 8:00 AM - 1:00 PM",423
201401,A,"S,Su 6:00 AM - 8:00 AM",133
201401,B,"S,Su 6:00 AM - 8:00 AM",0
201401,A,"M,T,W,R,F,S,Su 1:00 AM - 6:00 AM",239
201401,B,"M,T,W,R,F,S,Su 1:00 AM - 6:00 AM",358
201401,A,"M,T,W,R,F,S,Su 11:00 PM - 1:00 AM",538
201401,B,"M,T,W,R,F,S,Su 11:00 PM - 1:00 AM",682
201401,A,"M,T,W,R,F,S,Su 8:00 PM - 11:00 PM",866
201401,B,"M,T,W,R,F,S,Su 8:00 PM - 11:00 PM",1519
201401,A,"M,T,W,R,F 6:00 PM - 8:00 PM",349
201401,B,"M,T,W,R,F 6:00 PM - 8:00 PM",771
201401,A,"M,T,W,R,F 4:00 PM - 6:00 PM",251
201401,B,"M,T,W,R,F 4:00 PM - 6:00 PM",518
201401,A,"M,T,W,R,F 1:00 PM - 4:00 PM",200
201401,B,"M,T,W,R,F 1:00 PM - 4:00 PM",408
201401,A,"M,T,W,R,F 10:00 AM - 1:00 PM",137
201401,B,"M,T,W,R,F 10:00 AM - 1:00 PM",371
201401,A,"M,T,W,R,F 6:00 AM - 10:00 AM",99
201401,B,"M,T,W,R,F 6:00 AM - 10:00 AM",199
201401,A,"S,Su 1:00 PM - 8:00 PM",381
201401,B,"S,Su 1:00 PM - 8:00 PM",678
201402,A,"S,Su 8:00 AM - 1:00 PM",239
201402,B,"S,Su 8:00 AM - 1:00 PM",454
201402,A,"S,Su 6:00 AM - 8:00 AM",119
201402,B,"S,Su 6:00 AM - 8:00 AM",0
201402,A,"M,T,W,R,F,S,Su 1:00 AM - 6:00 AM",242
201402,B,"M,T,W,R,F,S,Su 1:00 AM - 6:00 AM",297
201402,A,"M,T,W,R,F,S,Su 11:00 PM - 1:00 AM",494
201402,B,"M,T,W,R,F,S,Su 11:00 PM - 1:00 AM",548
201402,A,"M,T,W,R,F,S,Su 8:00 PM - 11:00 PM",818
201402,B,"M,T,W,R,F,S,Su 8:00 PM - 11:00 PM",1058
201402,A,"M,T,W,R,F 6:00 PM - 8:00 PM",345
201402,B,"M,T,W,R,F 6:00 PM - 8:00 PM",647
201402,A,"M,T,W,R,F 4:00 PM - 6:00 PM",231
201402,B,"M,T,W,R,F 4:00 PM - 6:00 PM",420
201402,A,"M,T,W,R,F 1:00 PM - 4:00 PM",189
201402,B,"M,T,W,R,F 1:00 PM - 4:00 PM",345
201402,A,"M,T,W,R,F 10:00 AM - 1:00 PM",144
201402,B,"M,T,W,R,F 10:00 AM - 1:00 PM",371
201402,A,"M,T,W,R,F 6:00 AM - 10:00 AM",101
201402,B,"M,T,W,R,F 6:00 AM - 10:00 AM",256
201402,A,"S,Su 1:00 PM - 8:00 PM",371
201402,B,"S,Su 1:00 PM - 8:00 PM",627
201403,A,"S,Su 8:00 AM - 1:00 PM",242
201403,B,"S,Su 8:00 AM - 1:00 PM",467
201403,A,"S,Su 6:00 AM - 8:00 AM",140
201403,B,"S,Su 6:00 AM - 8:00 AM",0
201403,A,"M,T,W,R,F,S,Su 1:00 AM - 6:00 AM",254
201403,B,"M,T,W,R,F,S,Su 1:00 AM - 6:00 AM",279
201403,A,"M,T,W,R,F,S,Su 11:00 PM - 1:00 AM",533
201403,B,"M,T,W,R,F,S,Su 11:00 PM - 1:00 AM",535
201403,A,"M,T,W,R,F,S,Su 8:00 PM - 11:00 PM",764
201403,B,"M,T,W,R,F,S,Su 8:00 PM - 11:00 PM",1072
201403,A,"M,T,W,R,F 6:00 PM - 8:00 PM",325
201403,B,"M,T,W,R,F 6:00 PM - 8:00 PM",536
